Date,USD,GBP
2020-08-10,3.7393,4.8904
2020-08-11,3.739,4.8934
2020-08-12,3.7558,4.9028
2020-08-13,3.7176,4.8652
2020-08-14,3.7227,4.8692
2020-08-17,3.7076,4.8537
2020-08-18,3.6895,4.8599
2020-08-19,3.6732,4.8651
2020-08-20,3.7164,4.8714
2020-08-21,3.7164,4.9058
2020-08-24,3.7273,4.8841
2020-08-25,3.7144,4.8686
2020-08-26,3.7269,4.9036
2020-08-27,3.7286,4.9265
2020-08-28,3.6983,4.9117
2020-08-31,3.6924,4.9166
2020-09-01,3.6707,4.9256
2020-09-02,3.7191,4.9614
2020-09-03,3.7337,4.9697
2020-09-04,3.7533,4.9953
2020-09-07,3.7666,4.9688
2020-09-08,3.7652,4.9341
2020-09-09,3.7871,4.9002
2020-09-10,3.761,4.8949
2020-09-11,3.7534,4.7983
2020-09-14,3.7522,4.8207
2020-09-15,3.7445,4.8232
2020-09-16,3.7526,4.8447
2020-09-17,3.7713,4.8874
2020-09-18,3.7585,4.8811
2020-09-21,3.7963,4.8759
2020-09-22,3.8359,4.9195
2020-09-23,3.8399,4.8785
2020-09-24,3.8833,4.9467
2020-09-25,3.9016,4.9802
2020-09-28,3.9083,5.0121
2020-09-29,3.9228,5.0522
2020-09-30,3.8658,4.956
2020-10-01,3.8513,4.9391
2020-10-02,3.8366,4.9674
2020-10-05,3.8252,4.9541
2020-10-06,3.818,4.9598
2020-10-07,3.8126,4.9204
2020-10-08,3.8175,4.946
2020-10-09,3.7913,4.9089
2020-10-12,3.7927,4.9364
2020-10-13,3.7932,4.9554
2020-10-14,3.8301,4.9429
2020-10-15,3.8904,5.037
2020-10-16,3.8976,5.0407
2020-10-19,3.8761,5.0374
2020-10-20,3.8926,5.0451
2020-10-21,3.8706,5.0472
2020-10-22,3.8734,5.0766
2020-10-23,3.8665,5.0608
2020-10-26,3.8759,5.0579
2020-10-27,3.886,5.0607
2020-10-28,3.9313,5.0998
2020-10-29,3.9505,5.1404
2020-10-30,3.9563,5.1269
2020-11-02,3.9557,5.1076
2020-11-03,3.9069,5.076
2020-11-04,3.8996,5.0585
2020-11-05,3.8353,5.0042
